ticker,sector,pe_trailing,pe_forward,ps_ratio,pb_ratio,ev_ebitda,peg_ratio,fcf_yield,revenue_growth,earnings_growth,operating_margin,profit_margin,gross_margin,roe,roa,debt_to_equity,current_ratio,dividend_yield
NDAQ,Financial Services,28.0421,19.6893,9.4259,4.0387,18.663,2.1089,0.0337,0.134,0.476,0.4756,0.3406,1.0,0.1525,0.0506,0.7788,1.005,1.25
NDSN,Industrials,28.5049,21.2444,5.1574,4.716,18.306,1.7674,0.0351,0.088,0.442,0.25,0.1839,0.5528,0.1747,0.0802,0.6699,2.721,1.25
NEE,Utilities,28.2273,21.2719,7.0801,3.5532,21.245,2.053,-0.0784,0.207,0.26,0.2445,0.2493,0.6227,0.0837,0.0257,1.4624,0.595,2.68
NEM,Basic Materials,17.8482,10.5167,5.4732,3.6657,8.79,2.7807,0.0765,0.206,-0.046,0.5811,0.3125,0.6324,0.2234,0.1213,0.1674,2.287,0.91
NFLX,Communication Services,38.996,25.604,9.2624,15.6504,31.074,2.0633,0.0593,0.176,0.327,0.2454,0.243,0.4849,0.4276,0.1525,0.6378,1.186,
NI,Utilities,24.3538,21.3534,3.4214,2.4043,14.222,2.3166,-0.0491,0.198,0.111,0.2698,0.1399,0.5061,0.0907,0.0337,1.3928,0.688,2.53
NKE,Consumer Cyclical,29.0724,22.6373,1.4061,4.6433,17.744,1.0229,0.0201,0.001,-0.348,0.0694,0.0484,0.4092,0.1602,0.052,0.7933,2.139,3.71
NOC,Industrials,24.1575,23.296,2.3898,5.9825,16.595,5.3286,0.0289,0.096,0.152,0.1653,0.0997,0.1982,0.2617,0.0664,1.0726,1.101,1.32
NOW,Technology,61.0778,20.3267,8.1055,8.2398,37.55,0.9777,0.046,0.207,0.034,0.1651,0.1316,0.7753,0.1549,0.0539,0.1854,1.003,
NRG,Utilities,37.9826,13.1506,1.0558,28.1924,15.289,1.3498,0.0336,0.137,-0.913,0.0426,0.0281,0.1938,0.4155,0.0457,9.8905,1.637,1.24
NSC,Industrials,22.5705,21.3751,5.3101,4.1573,14.469,3.9483,0.0225,-0.017,-0.114,0.3117,0.2359,0.4595,0.1925,0.0591,1.1474,0.847,1.88
NTAP,Technology,17.3406,12.1428,3.0511,17.6727,11.487,1.1758,0.0545,0.044,0.16,0.2516,0.1807,0.7046,1.1259,0.1027,2.361,1.39,2.01
NTRS,Financial Services,16.2944,12.6904,3.3237,2.1955,,1.1773,,0.082,0.076,0.2899,0.2146,0.0,0.1349,0.0104,,,2.21
NUE,Basic Materials,22.9335,12.4674,1.2089,1.8806,10.877,,-0.023,0.086,0.342,0.0687,0.0537,0.1203,0.0936,0.0481,0.3276,2.938,1.3
NVDA,Technology,36.202,15.9576,19.9662,27.4088,31.971,0.7207,0.0135,0.732,0.956,0.6502,0.556,0.7107,1.0148,0.5119,7.255,3.905,0.02
